Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,EnergyConsumption,Year,Month,Day,Hour
25.1394334377269,43.43158120480281,1565.6939992511177,5,,,2.774698791658742,Monday,No,75.36437339539214,2022,1,1,0
27.731650520792968,54.225918580233085,1411.064918331917,1,,,21.831384152500608,Saturday,No,83.40185495035139,2022,1,1,1
28.704276857248125,58.907657743033184,1755.71500922237,2,,,6.76467168191291,Sunday,No,78.27088774061066,2022,1,1,2
20.080469485298178,50.3716371457499,1452.316318334375,1,,,8.623446893471096,Wednesday,No,56.51985048548002,2022,1,1,3
23.09735925505204,51.40142134361278,1094.1303586981196,9,,,3.0719692157166323,Friday,No,70.81173246793318,2022,1,1,4
29.576037393658908,36.82426323380886,1871.7091797360983,6,,,17.62668982389795,Sunday,Yes,84.32188519433718,2022,1,1,5
25.13116712267887,35.70962155267958,1607.0012284749637,6,,,24.26470232698351,Friday,Yes,76.16579090213895,2022,1,1,6
23.182844248720983,31.67991978011051,1633.9553295431135,8,,,27.51709925003732,Thursday,Yes,74.1319061773031,2022,1,1,7
25.39199937425648,46.399364049557406,1240.309223721734,6,,,2.3075954692088576,Sunday,No,78.20623587095885,2022,1,1,8
22.2125494242776,32.41846388370173,1705.4203356236917,1,,,29.140070981014404,Tuesday,No,77.99221370196022,2022,1,1,9
28.0648135792427,36.45147178564109,1341.467128540315,2,,,0.3522383966403897,Monday,Yes,82.27443448386548,2022,1,1,10
23.422546256146845,30.527342157466457,1604.4183548074382,6,,,19.529548154656723,Thursday,Yes,73.27866950427382,2022,1,1,11
25.388888490671448,47.60101803425757,1244.6189139899486,1,,,21.79744359722318,Tuesday,Yes,84.14477565753458,2022,1,1,12
20.058737855510586,41.861641594454376,1806.052631578324,2,,,6.384949152471242,Friday,Yes,60.0225185622203,2022,1,1,13
